Date,ZLFund BMF
4/12/2018,129.94
4/13/2018,129.94
4/14/2018,129.95
4/15/2018,129.95
4/16/2018,129.96
4/17/2018,129.97
4/18/2018,129.98
4/19/2018,129.99
4/20/2018,130.00
4/21/2018,130.01
4/22/2018,130.02
4/23/2018,130.03
4/24/2018,130.04
4/25/2018,130.07
4/26/2018,130.12
4/27/2018,130.20
4/28/2018,130.29
4/29/2018,130.43
4/30/2018,130.59
5/1/2018,130.74
5/2/2018,130.86
5/3/2018,130.97
5/4/2018,131.07
5/5/2018,131.17
5/6/2018,131.27
5/7/2018,131.38
5/8/2018,131.50
5/9/2018,131.61
5/10/2018,131.72
5/11/2018,131.81
5/12/2018,131.88
5/13/2018,131.95
5/14/2018,132.01
5/15/2018,132.07
5/16/2018,132.13
5/17/2018,132.19
5/18/2018,132.24
5/19/2018,132.29
5/20/2018,132.34
5/21/2018,132.40
5/22/2018,132.45
5/23/2018,132.51
5/24/2018,132.58
5/25/2018,132.64
5/26/2018,132.71
5/27/2018,132.77
5/28/2018,132.83
5/29/2018,132.88
5/30/2018,132.93
5/31/2018,132.98
6/1/2018,133.02
6/2/2018,133.07
6/3/2018,133.11
6/4/2018,133.17
6/5/2018,133.22
6/6/2018,133.29
6/7/2018,133.38
6/8/2018,133.46
6/9/2018,133.55
6/10/2018,133.63
6/11/2018,133.69
6/12/2018,133.75
6/13/2018,133.80
6/14/2018,133.84
6/15/2018,133.88
6/16/2018,133.92
6/17/2018,133.96
6/18/2018,133.99
6/19/2018,134.02
6/20/2018,134.06
6/21/2018,134.10
6/22/2018,134.15
6/23/2018,134.19
6/24/2018,134.23
6/25/2018,134.27
6/26/2018,134.30
6/27/2018,134.34
6/28/2018,134.38
6/29/2018,134.42
6/30/2018,134.46
7/1/2018,134.50
7/2/2018,134.53
7/3/2018,134.57
7/4/2018,134.60
7/5/2018,134.64
7/6/2018,134.66
7/7/2018,134.69
7/8/2018,134.71
7/9/2018,134.73
7/10/2018,134.75
7/11/2018,134.77
7/12/2018,134.79
7/13/2018,134.81
7/14/2018,134.83
7/15/2018,134.86
7/16/2018,134.88
7/17/2018,134.90
7/18/2018,134.92
7/19/2018,134.94
7/20/2018,134.96
7/21/2018,134.97
7/22/2018,134.99
7/23/2018,135.00
7/24/2018,135.02
7/25/2018,135.04
7/26/2018,135.05
7/27/2018,135.07
7/28/2018,135.08
7/29/2018,135.10
7/30/2018,135.11
7/31/2018,135.13
8/1/2018,135.14
8/2/2018,135.16
8/3/2018,135.18
8/4/2018,135.20
8/5/2018,135.22
8/6/2018,135.24
8/7/2018,135.26
8/8/2018,135.27
8/9/2018,135.29
8/10/2018,135.30
8/11/2018,135.32
8/12/2018,135.33
8/13/2018,135.34
8/14/2018,135.35
8/15/2018,135.36
8/16/2018,135.37
8/17/2018,135.38
8/18/2018,135.39
8/19/2018,135.40
8/20/2018,135.41
8/21/2018,135.42
8/22/2018,135.43
8/23/2018,135.44
8/24/2018,135.45
8/25/2018,135.45
8/26/2018,135.46
8/27/2018,135.47
8/28/2018,135.48
8/29/2018,135.49
8/30/2018,135.49
