Date,Price
2018-11-10,136.58
2018-11-11,136.58
2018-11-12,136.58
2018-11-13,136.58
2018-11-14,136.58
2018-11-15,136.58
2018-11-16,136.58
2018-11-17,136.58
2018-11-18,136.59
2018-11-19,136.60
2018-11-20,136.61
2018-11-21,136.62
2018-11-22,136.62
2018-11-23,136.63
2018-11-24,136.63
2018-11-25,136.64
2018-11-26,136.65
2018-11-27,136.65
2018-11-28,136.66
2018-11-29,136.66
2018-11-30,136.67
2018-12-01,136.67
2018-12-02,136.68
2018-12-03,136.68
2018-12-04,136.69
2018-12-05,136.69
2018-12-06,136.70
2018-12-07,136.70
2018-12-08,136.71
2018-12-09,136.71
2018-12-10,136.72
2018-12-11,136.72
2018-12-12,136.73
2018-12-13,136.73
2018-12-14,136.73
2018-12-15,136.74
2018-12-16,136.74
2018-12-17,136.75
2018-12-18,136.75
2018-12-19,136.76
2018-12-20,136.76
2018-12-21,136.76
2018-12-22,136.77
2018-12-23,136.77
2018-12-24,136.78
2018-12-25,136.78
2018-12-26,136.79
2018-12-27,136.80
2018-12-28,136.80
2018-12-29,136.81
2018-12-30,136.81
2018-12-31,136.82
2019-01-01,136.83
2019-01-02,136.84
2019-01-03,136.85
2019-01-04,136.87
2019-01-05,136.89
2019-01-06,136.90
2019-01-07,136.92
2019-01-08,136.93
2019-01-09,136.94
2019-01-10,136.95
2019-01-11,136.96
2019-01-12,136.97
2019-01-13,136.97
2019-01-14,136.98
2019-01-15,136.99
2019-01-16,136.99
2019-01-17,137.00
2019-01-18,137.01
2019-01-19,137.03
2019-01-20,137.06
2019-01-21,137.17
2019-01-22,137.28
2019-01-23,137.35
2019-01-24,137.38
2019-01-25,137.41
2019-01-26,137.44
2019-01-27,137.48
2019-01-28,137.51
2019-01-29,137.53
2019-01-30,137.57
2019-01-31,137.59
2019-02-01,137.59
2019-02-02,137.59
2019-02-03,137.59
2019-02-04,137.59
2019-02-05,137.59
2019-02-06,137.59
2019-02-07,137.59
2019-02-08,137.62
2019-02-09,137.65
2019-02-10,137.69
2019-02-11,137.73
2019-02-12,137.77
2019-02-13,137.80
2019-02-14,137.83
2019-02-15,137.85
2019-02-16,137.87
2019-02-17,137.90
2019-02-18,137.93
2019-02-19,137.96
2019-02-20,137.99
2019-02-21,138.02
2019-02-22,138.04
2019-02-23,138.07
2019-02-24,138.09
2019-02-25,138.11
2019-02-26,138.13
2019-02-27,138.15
2019-02-28,138.17
2019-03-01,138.19
2019-03-02,138.20
2019-03-03,138.22
2019-03-04,138.24
2019-03-05,138.26
2019-03-06,138.27
2019-03-07,138.29
2019-03-08,138.30
2019-03-09,138.32
2019-03-10,138.34
2019-03-11,138.35
2019-03-12,138.37
2019-03-13,138.38
2019-03-14,138.40
2019-03-15,138.41
2019-03-16,138.42
2019-03-17,138.44
2019-03-18,138.45
2019-03-19,138.46
2019-03-20,138.48
2019-03-21,138.50
2019-03-22,138.54
2019-03-23,138.58
2019-03-24,138.61
2019-03-25,138.64
2019-03-26,138.66
2019-03-27,138.69
